Sentence_Type,Class_Type,,,
"
i have to get a travel advance",statement,,,
"
and then i'll have to call US Air to find out if if we're allowed to make her reservations",statement,,,
"
if the timing works for that",statement,,,
"
the fare we were holding at was 258",statement,,,
"
and basically what i want to know is the what the business class and the first class fares are",statement,,,
"
they're available in the travel office if he does want to fill one out",statement,,,
put this in the correct order,command,,,
"
is that Alaska",question,,,
"
what rate do we get",question,,,
"
and that's on Wednesday the 7th",statement,,,
"
 and  i'm going to arrange for you to collect your tickets from the train station tomorrow",statement,,,
"
what type of credit card is that you hold",question,,,
"
the next one earlier leaves at 6:50",statement,,,
"
and you arrive in Durham at",statement,,,
"
you don't",statement,,,
"
you mean  they",statement,,,
"
and you cancel by 2 o'clock the day before travel",statement,,,
"
is that easier",question,,,
"
i suppose i'm going to have to cope with that",statement,,,
"
he's in Palo Alto",statement,,,
"
it's 10:30 p m",statement,,,
"
go ahead with that",command,,,
"
and that's spelled how",statement,,,
"
that's what i was wondering",statement,,,
"
the 2 no-stops are on Canadian Airlines",statement,,,
"
and what date you travelling out",question,,,
"
on what day",question,,,
"
 can i get originally from Wilmslow in that case",question,,,
"
the 28th of August",statement,,,
"
this is his Montreal trip",statement,,,
"
the train from Wilmslow from 15:46 is forward facing at the window non-smoking",statement,,,
"
we're getting a fare here of 398 dollars round trip",statement,,,
"
and that's Saturday the 3rd of October from Macclesfield at 9:52 in the morning",statement,,,
"
 could you put me in smoking as well please both ways",question,,,
"
and i think that's it",statement,,,
"
so you've got a choice of going through Charlotte North Carolina at 5:55",statement,,,
"
so um we generate the tickets from here",statement,,,
"
and it leaves San Jose 9:50 a m  and arrives Ontario 11:02",statement,,,
"
i think i'll i'll call you back again",statement,,,
"
you can come back within the calendar month as well",statement,,,
"
the time on Friday that i'd like to depart would be evening",statement,,,
"
the airfare is 264 round trip",statement,,,
"
and what type of seats would she want me to request",question,,,
"
it's a connect Barclay Visa",statement,,,
"
is that a Super Saver Advance yes",question,,,
"
 and if you have to cancel this ticket",statement,,,
"
but you still have to use it round trip",statement,,,
"
they've just changed the name of the ticket",statement,,,
"
this is a new reservation here",statement,,,
"
that's it",statement,,,
"
and we're all set to go with that",statement,,,
"
he would like to be on United flight 1 1 1 7",statement,,,
let me make C's reservation,command,,,
"
let me pull that up",command,,,
let me get his reservation,command,,,
"
 which one would you prefer",question,,,
"
7 pounds will be debited from that account",statement,,,
"
and that's a forward facing seat smoking",statement,,,
"
it turns out there's an earlier United flight a 3:40",statement,,,
"
i called to make arrangements for a trip to Vancouver",statement,,,
"
i'll need the Hertz car",statement,,,
"
you want me to book that for you",statement,,,
"
it costs more than i thought",statement,,,
"
i will be there",statement,,,
"
 is there anything earlier or not at all",question,,,
"
i'm just jotting this down for further reference",statement,,,
"
and you said it's your credit card you're paying by",statement,,,
"
if that's the only place",statement,,,
"
and i'll get back with you",statement,,,
"
was that the 6 o'clock flight",question,,,
"
and that is a 10:30 a m departure",statement,,,
"
so i've got to send these back",statement,,,
"
that's what i'm looking at",statement,,,
"
then let me go with 2 0 2 0 one E",command,,,
"
are the rates better on the US Air",question,,,
"
they're still going to get you in in the afternoon on Monday",statement,,,
"
they said to me you know we're government contractor",statement,,,
"
you can get the next available service",statement,,,
"
if you give me the number",statement,,,
"
what's that",question,,,
"
whichever's cheaper",statement,,,
"
it you do have y... you have to ticket this in order for this reservation to remain intact  by the end of tomorrow",statement,,,
"
and it it's a through train",statement,,,
"
and the other 9:25",statement,,,
"
so that's  great",statement,,,
"
then we have one at 6:40 a m which would get you there at 4:36",statement,,,
"
you were saying that it leaves on Friday",statement,,,
"
and there's also what we call er business class tickets called Virgin business",statement,,,
"
this is your booking reference number that the ticket has been booked under",statement,,,
"
what about a a change of planes or a quick stop-over",question,,,
"
United has a 3:45 non-stop that arrives San Francisco 6:03",statement,,,
"
let me get it the right way round",command,,,
"
it's  it's the 9:19 at Wolverhampton please",statement,,,
"
they don't offer",statement,,,
"
we have you on US Air flight 1 1 6",statement,,,
"
you want me to book that ticket  for you",statement,,,
"
we'll juggle it at that end",statement,,,
"
cos what's the other one",question,,,
"
a lot of people ask us for government rates at specific hotels or airlines or   what have you",statement,,,
let's just go the direct return leaving around 5 p m,command,,,
"
it's a Canadian Airline like Air Canada",statement,,,
"
and when would you like me to send this ticket over to you",question,,,
"
i don't know if i can get them together",statement,,,
"
i think that'll",statement,,,
"
they're on the 12:28",statement,,,
"
can you check for any flights that um leave either Seattle or Portland and get into San Francisco by 7 o'clock in the morning",question,,,
"
it sounds funny when they  have",statement,,,
"
it's it's uh the number one priority type of uh",statement,,,
"
that's the one",statement,,,
"
he needs to go on Tuesday May 9th",statement,,,
"
and also you can't get business class all the way through",statement,,,
"
i have one fare",statement,,,
"
EE FF would like to book those tickets for th... coming in this Thursday",statement,,,
"
and what time do you like to depart tomorrow",question,,,
"
then why don't you give me the uh the price for uh",question,,,
"
and  how many people's travelling",question,,,
"
the tickets will go out in the first class post for you this afternoon",statement,,,
"
and let's check the seats",command,,,
"
do you still... do you hold a credit a debit card",question,,,
"
so that's a two-hour hold there   waiting for that flight",statement,,,
"
it's for eh the outbound would be on June 17th",statement,,,
"
we'll post the tickets out to the credit card holder's address",statement,,,
"
i thought Monday was the 20th",statement,,,
"
there's there's the WWW",statement,,,
"
his car is uh confirmed for intermediate car  in San Diego",statement,,,
"
and that's um ge... leaving at 9 p m from San Francisco",statement,,,
"
so i can get to an office by",statement,,,
"
 i was quoted 19 pounds",statement,,,
"
have you got the got the postcode first of all please",question,,,
"
you're going to have to get the Saver Return which is 30 pounds  70 with the railcard discount",statement,,,
"
it's 1:05 in the morning",statement,,,
"
if i stop over Seattle",statement,,,
"
it's by 6 o'clock the day before again",statement,,,
"
and i'll look at  a couple of things on this and um give you a call back either today or tomorrow morning as far as faring goes",statement,,,
"
let me just check here",command,,,
"
shall we wait on anything else until we know what eh what day he's returning",question,,,
"
what what type of fare do you want to go or  know about",question,,,
"
it's er Barclay card",statement,,,
"
that is correct",statement,,,
"
i've got that down as an option",statement,,,
"
what i'm going to do is arrange for you to collect your ticket on the day of travel",statement,,,
"
so when you request them",statement,,,
"
there's a 100 dollar fine",statement,,,
"
but you'll be able to travel tomorrow at 10:38 from Stockport",statement,,,
"
that's",statement,,,
"
it would be at 9:30",statement,,,
"
it wasn't any better",statement,,,
"
if it is possible after",statement,,,
"
we have an emergency traveller who is going t... uh Copenhagen from San Francisco to Los Angeles",statement,,,
"
what was the last letter there",question,,,
"
you arrive in Leeds at 10:11",statement,,,
"
the direct services are all  booked up",statement,,,
"
it's a ro... round trip",statement,,,
"
and could you give me the long number across your credit card",question,,,
"
give me the postcode first of all",command,,,
"
do what you can",command,,,
"
and we're looking for economy",statement,,,
"
will there be any particular date that you're be looking into",question,,,
"
i might keep a car which i'll have and simply drive up",statement,,,
"
i'm just going to go over to double check what i've booked there with you",statement,,,
"
the cheapest fare is 41 pounds 40 return",statement,,,
"
 it's",statement,,,
"
by late he means something like nine ten like that",statement,,,
"
there might be two of us",statement,,,
"
why didn't we go ahead and book him on the um American flight leaving at 6:22   through Dallas",question,,,
"
i was wondering",statement,,,
"
and that's 946 one way",statement,,,
"
that'd be beneficial",statement,,,
"
so that's why i wanna know what time the one from Liverpool is",statement,,,
"
that 7 o'clock train doesn't have  any of the 19 pounds Virgin Value fares  for Super Advance",statement,,,
"
it is telling us that it has to be ticketed within 24 hours of making the reservation",statement,,,
"
why don't i say um",question,,,
"
it looks like i",statement,,,
"
they call it North Burigan",statement,,,
"
and then i'll get Euston to Wilmslow cos i'll drive park my car there",statement,,,
"
it's travelling tomorrow the 2nd of October from London Euston to Birmingham New Street",statement,,,
"
the number across the Visa please",statement,,,
"
i'm just going to get a booking form to fill in refax to the train station",statement,,,
and confirm that address for me,command,,,
"
the best one for farewise would be a America West flight at 2:10 p m",statement,,,
let's assume a departure around 1:30 or 2 o'clock,command,,,
"
if it if the system lets me book it",statement,,,
"
i'll leave the return journey open",statement,,,
"
the routing that you suggested to Los Angeles",statement,,,
"
under which name",question,,,
"
he's going to come out ahead with the um the non-conference rate",statement,,,
"
oh that'd be fine",statement,,,
"
C is going to go to Ottawa",statement,,,
"
that arrives Greenbay at 8:51",statement,,,
"
do you have the times  in front of you",question,,,
"
let me check to see if um we still have that old record",command,,,
"
it's  for",statement,,,
"
what i do is i ask for connections er flights from Hong Kong to Moscow",statement,,,
"
take a coach to from Macclesfield to Wilmslow",command,,,
"
you're saying i can't go on the 14:58 anyway",statement,,,
"
 can you just give me a price if there's er 2 of us travelling",question,,,
"
that's called forcing a connection",statement,,,
"
you must do so by 2 o'clock the day before as well",statement,,,
"
you'll be travelling in coach   as in",statement,,,
"
 it's just  allowing yourself extra time there",statement,,,
wait,command,,,
"
you have to have at least a 7 day advance purchase  for the 98",statement,,,
"
but you're changing at Birmingham New Street",statement,,,
"
i don't know if they offer",statement,,,
"
do you know",question,,,
"
that sounds good",statement,,,
"
or do i have to do that o...",question,,,
"
that sounds  good",statement,,,
"
you depart Birmingham New Street at 13:18",statement,,,
"
what's his last name",question,,,
"
i'm checking in on the 31st of July late",statement,,,
"
and you have to have some type of government badge or government id",statement,,,
"
that'd be Tuesday",statement,,,
"
and that's already confirmed",statement,,,
"
the flight number for December is 5 5 8",statement,,,
"
i'm going to have to arrange for you to collect your ticket tomorrow from Manchester Picadilly",statement,,,
"
we'd have to build our own connection",statement,,,
"
that was",statement,,,
"
it's er  Stockport erm  Watford Junction",statement,,,
"
he's already purchased his ticket",statement,,,
"
i better let E do his own",statement,,,
"
i don't know if i want to want to to do a red eye",statement,,,
"
the cheapest fare the is available travelling that day now  is going to be the Super Advance Return which is 33 pounds 50 each",statement,,,
"
and they have another flight at 8:25 a m that connects through Atlanta which would get in at 6:10",statement,,,
"
it's supposedly coming today",statement,,,
and let's see,command,,,
"
and i do need to advise you",statement,,,
"
 it's the booking office in Euston",statement,,,
"
you would receive a full refund less 5 pounds",statement,,,
"
when you look at your map",statement,,,
"
and if you want to go with that",statement,,,
"
and em 208 miles southeast of Fairbanks puts it right in the middle of nowhere",statement,,,
"
it's not for me",statement,,,
"
at what time does it get to Toronto",question,,,
"
i show a a Piedmont flight f... at 9:25 a m",statement,,,
hold the line,command,,,
"
the 17:25 returns arrives in Euston at 19:08",statement,,,
"
 that sounds ideal",statement,,,
"
hold it",command,,,
"
so you'd be kind of going backwards",statement,,,
"
because he's not going to be able to upgrade anyway",statement,,,
"
and he'll deal with the rest in Denmark then",statement,,,
"
could i have front facing from Taunton to erm",question,,,
"
so  you just need a single",statement,,,
"
i won't ticket without your approval on it",statement,,,
"
and they're both in the morning on Sunday",statement,,,
"
it's just up to you which time would be better or if you have a preference  to airlines",statement,,,
"
what was it you needed to have  changed",question,,,
"
just so i can make sure i've got a seat on there",statement,,,
and let's uh,command,,,
"
could you give me the flight number on that then",question,,,
"
i'll give you",statement,,,
"
let me just let me check their times",command,,,
"
you said 8:44",statement,,,
"
he just thinks that Baltimore is the most efficient route to get to JFK from Phoenix",statement,,,
"
that's uh that's fairly uh fairly low in fact",statement,,,
"
but there's road er road works listen me engineering works isn't there or something",statement,,,
"
so  i may as well get on with them in Wigan then",statement,,,
"
you have no idea what they are",statement,,,
"
is this for a proposal",question,,,
"
do you have a late flight out on the 23rd",question,,,
make it a window,command,,,
"
what i have to do is like a generic request instead of asking for specific seats",statement,,,
"
i think that",statement,,,
"
can i give you a call right back",question,,,
"
or you don't need to book a return",statement,,,
"
it's the 8th of October",statement,,,
"
there's one Hong Kong to Tokyo to London to Moscow",statement,,,
"
it's what",question,,,
"
and what time would you like to depart",question,,,
"
he wants to take a Piedmont flight that leaves Phoenix aimed for Baltimore at 10:30 in the morning",statement,,,
"
we do not",statement,,,
"
 if you cancel by 2 o'clock the day before travel",statement,,,
"
if he walks or what",statement,,,
"
we just have to put in um a um a fake fake date in there so it reads it",statement,,,
"
you you you would get business class from the US to your European gateway city",statement,,,
"
from wh... where are there flights leaving on um Sunday morning or late Saturday night",question,,,
"
it's erm a college card",statement,,,
"
the  the 30 pounds is the cheapest fare travelling tomorrow now",statement,,,
"
it's the 4 of the 1st",statement,,,
"
i'd hate to have to push it short for 25 percent penalty included",statement,,,
let's take him first,command,,,
"
if you want to give me a call back",statement,,,
"
and i apologize for this too",statement,,,
"
the cheaper of the two would be fine",statement,,,
"
there's a 10:30 train from Stockport tomorrow",statement,,,
"
that would get him in to Tampa at 4:35 p m",statement,,,
"
i want to book the um i want to book the 3 what is it 3 p m or so United flight out of Chicago",statement,,,
"
i'll just check availability",statement,,,
"
what is it again",question,,,
"
he's at the  block of",statement,,,
"
you quote that reference number",statement,,,
"
but it doesn't arrive into Ottawa until 6:10",statement,,,
"
 and when is it you're returning",question,,,
"
if you're actually buying a return ticket",statement,,,
"
and i give you his him to give you the details then shall i",statement,,,
"
you're not going to get the lowest fare",statement,,,
"
and what's the name of the last the last name of the passenger",question,,,
"
there's nothing else",statement,,,
"
let me give you that",command,,,
"
what type of railcard",question,,,
"
which which carrier is that",question,,,
"
let me get a generic profile",command,,,
"
we'll just ticket as far as Copenhagen",statement,,,
"
for instance i can get you a 158 dollar 25 percent penalty round trip fare out of San Jose",statement,,,
"
and that's Saturday the 3rd of October",statement,,,
"
 which whichever one",statement,,,
"
but i've just got it   requested",statement,,,
"
do you want to go ahead with the 6 p m departure then",question,,,
"
then let me give you the round trip fare for that",command,,,
"
if you miss any  trains that i am going to reserve you on",statement,,,
"
then you're all set and non-penalty fare",statement,,,
"
i can't do that",statement,,,
"
but we do need the credit card address details",statement,,,
"
cos i'm not a traveller",statement,,,
"
it's Continental flight 8 2 4",statement,,,
"
i know where you're at",statement,,,
let's,command,,,
"
if i provisionally book you on a return service",statement,,,
"
it doesn't matter",statement,,,
"
and it gets into London at 19:13",statement,,,
"
let's go with that then to for the",command,,,
"
we better do the 6",statement,,,
"
 do you have a rail card",question,,,
"
i'll check Saturday for you",statement,,,
"
so that's that's a a wash",statement,,,
"
 and i can't make it for that train or i want to go on a later one",statement,,,
"
it's from London Euston to Birmingham International",statement,,,
"
we... are these  these called",question,,,
"
let me let me pull up your  profile first",command,,,
"
let's just consider that 4:30 Alaska",command,,,
"
that gets in at 5:14",statement,,,
"
 you are able to get the next available service",statement,,,
"
so it should be",statement,,,
"
but you're able to return on any train of your choice",statement,,,
"
the price... the price increased from 27th of September",statement,,,
"
if i can get on that",statement,,,
"
the 9th",statement,,,
"
and it's subject to availability and 5 pounds charge",statement,,,
"
so that's the problem",statement,,,
"
and when did you want to leave Chicago",question,,,
"
you arrive in Wrexham General at 14:55",statement,,,
"
my name is B C",statement,,,
"
they don't have any competition",statement,,,
"
there's engineering works going on at the moment",statement,,,
go ahead with that,command,,,
"
all you really need to show   is your WWW badge",statement,,,
"
does he",question,,,
"
and if you miss a service that i have booked you on",statement,,,
"
how late",question,,,
"
i got er a  Barclay",statement,,,
"
but we'll see what he says",statement,,,
"
the new millenium's coming in soon",statement,,,
"
it's CP Air flight 1 4 0",statement,,,
"
he wants to fl... he wants to fly from Boston",statement,,,
"
let me let me call",command,,,
"
that's out of Chicago at 9:50 p m",statement,,,
"
he would like to leave um possibly the afternoon of the 28th of October",statement,,,
"
it's just been giving me the quickest change time  the system works out",statement,,,
"
when he calls to make the reservation",statement,,,
"
he's returning on the 13th of June on United flight 1 1 1 8",statement,,,
"
we have him on US Air flight 2 6 5 0 on the 14th of June",statement,,,
"
sometimes you have to make it directly with the airline",statement,,,
"
he's not stopping in San Jose",statement,,,
"
so if we do that",statement,,,
"
and that's 7 pounds for your Single",statement,,,
let me take a look at it,command,,,
"
let's take him first",command,,,
"
i've got departures now",statement,,,
"
do you have his seating request by any chance",question,,,
"
 and do you have a current railcard",question,,,
"
it was the probably a twosome if it was two people",statement,,,
"
 i'm just booking your seat again",statement,,,
"
it's 49 dollars",statement,,,
"
that would get you in at 8:11",statement,,,
"
and what type of credit is that you hold",question,,,
"
it's in the same time zone as Juno's in",statement,,,
"
is that London Euston",question,,,
"
it looks like",statement,,,
"
it's just going to be a simple round trip",statement,,,
"
i'll send these others back now then",statement,,,
"
i'm trying to think",statement,,,
"
what's the next name",question,,,
"
is that booked",question,,,
"
 he's what i guess you'd call a seldom flyer",statement,,,
"
because i've got somebody meeting me there",statement,,,
"
and what date would you like to travel",question,,,
"
i guess you've already got his tickets",statement,,,
"
it's erm",statement,,,
"
then i will inform him of the Dulles flight at fou... 4:40",statement,,,
"
get on the train at 16:25",command,,,
"
i think we had better price rates on the US Air didn't we",statement,,,
"
it's 7",statement,,,
"
they can sell his seat to someone else",statement,,,
"
that would be 4 88 each direction",statement,,,
"
i've got that",statement,,,
"
that was available",statement,,,
"
i want to try to take advantage of any Savers that are available",statement,,,
let's try,command,,,
"
you want me to  look at the return",statement,,,
"
the first",statement,,,
"
that has now being booked up for tomorrow",statement,,,
"
and so do we have final approval",question,,,
let me change that,command,,,
"
wh... wh... when she comes back",statement,,,
"
 and  is it yourself as is a credit and debit card holder",question,,,
"
i can uh i can tentatively make their reservations if you like",statement,,,
"
 and confirm that address for me please",command,,,
"
do you want to book the tickets just now",question,,,
"
i'm not young enough",statement,,,
"
did i make that clear",question,,,
"
but there it is also offered for business",statement,,,
and let me just make sure that i can get him his um non-smoke aisle seat on that one,command,,,
"
what i'm saying is you don't need to take the card",statement,,,
"
the United flight leaves at 5:40 and gets in at 10:11",statement,,,
"
plus uh we pay for the going rate",statement,,,
"
one smoking place in first class",statement,,,
"
i can't leave until after 10:30 or 11 o'clock at night",statement,,,
"
it stops in Denver",statement,,,
"
so the fares are the same",statement,,,
"
wait",command,,,
"
tha... that's true",statement,,,
"
 and when would you like to return",question,,,
"
how do we do that",question,,,
"
all he has to do when he gets back to Newark is to have them plunk in a number",statement,,,
"
let's take a look here",command,,,
"
is this going to be business class",question,,,
"
how much is the cost of the train journey then please",question,,,
"
the traveller will be CCC DDD",statement,,,
"
so it's 10:50",statement,,,
"
the 8:20 a m",statement,,,
"
the total price is 51 pounds return",statement,,,
"
or do you need a credit card",question,,,
"
and then it's put in the computer",statement,,,
"
 is there any going from  like any other stations nearby in the region",question,,,
"
it's 4 adults and 4 children with the family railcard discount",statement,,,
"
the twoso...  the twosome is no longer an available ticket",statement,,,
"
and let me just make sure that i can get him his um non-smoke aisle seat on that one",command,,,
"
the trip that i'm supposed to take tomorrow night",statement,,,
"
 if you miss any services that i have reserved you on",statement,,,
"
can we make a reservation on that one now",question,,,
"
now you know  where it is",statement,,,
"
and the two tickets will be posted out first class to you this afternoon",statement,,,
"
 you've actually 80 pence you have to pay more",statement,,,
"
cos they're all subject to what days you're travelling",statement,,,
"
this is personal",statement,,,
let me check their schedules here,command,,,
"
it's from Edinburgh to Milton Keynes",statement,,,
"
that's if just want the postcode or",statement,,,
"
this is your reference number your tickets are being booked under",statement,,,
"
the non-stop flight seems to be more appealing to me",statement,,,
"
i'll book on the  the one on the Friday morning then",statement,,,
"
that's wonderf...",statement,,,
"
so probably SFO is better actually",statement,,,
"
then it's then it'll be great",statement,,,
"
try Helsinki",command,,,
let me give you,command,,,
"
 the the Hertford to Taunton",statement,,,
"
 if you have to cancel",statement,,,
"
it's not so important",statement,,,
"
that's been booked up",statement,,,
"
there's also a US Air flight at 6:20",statement,,,
"
let me get you on a on a one-stop here",command,,,
"
i think we'd like to pay just with the full fare",statement,,,
"
it can't be 6:50",statement,,,
"
i need some help trying to get from Seattle to uh San Francisco Monday night the",statement,,,
"
and is it just for 1",question,,,
"
that would be Tuesday",statement,,,
"
13:50 departing Euston",statement,,,
"
we can put him",statement,,,
"
i could put them both on an aisle seat",statement,,,
"
i don't know if there are any red eyes from there",statement,,,
"
you're right",statement,,,
and let me give you the flight information,command,,,
"
if it was sold out",statement,,,
"
that's US Air 2 7 7 7 on the 10th",statement,,,
"
i think it's like 10 to si... 10 to 6 or then",statement,,,
"
there's no",statement,,,
"
they're all the same",statement,,,
"
 and when do you like to return",question,,,
"
and then he'd connect to a British Air flight out of London Heathrow airport",statement,,,
"
the   last flight of the day to San Francisco's at 6:39",statement,,,
let me take a look and price them both,command,,,
"
and the ticket will be posted out first class to you this afternoon",statement,,,
"
but do they",question,,,
let's go ahead and stick with it,command,,,
"
i must what",question,,,
"
can you do for 2 weeks",question,,,
"
i'm writing this down",statement,,,
"
do they both go on the same",question,,,
"
she'll call you",statement,,,
"
i could do about 3 o'clock in the afternoon into Tokyo",statement,,,
"
maybe he can't leave that early",statement,,,
"
i guess it'd probably at the night of the 11th",statement,,,
"
that's on the 9th of October",statement,,,
just leave it the 19 80,command,,,
"
let me just check the um",command,,,
"
they only have",statement,,,
"
let me take a look at it",command,,,
"
i can get her get him on a 14:10 flight",statement,,,
"
that's alright",statement,,,
"
it's going to be 98 for round trip",statement,,,
"
4 6 0 7 leaves Ottawa at what time",statement,,,
"
the total price is 48 pounds",statement,,,
"
can you just let me  find out",question,,,
"
that's all confirmed",statement,,,
"
it it's 1 2 7 0",statement,,,
"
9:50 is American",statement,,,
"
what time do you like to depart from  Birmingham New Street",question,,,
"
did you want me to verify it or uh",question,,,
"
a... a... when",statement,,,
"
you must stick to the dates and the times that you book",statement,,,
"
you uh spoke with me earlier",statement,,,
"
and he still is wait-listed for that Lufthansa flight",statement,,,
"
 what",question,,,
"
but it's just the fare",statement,,,
"
when are you returning",question,,,
please give him the ticket,command,,,
"
excuse me",command,,,
"
i've just been in touch with the 0 3 4 5 1 2 1 9 6 2 number",statement,,,
"
it's 50 per cent refund less 5 pounds",statement,,,
"
that's probably better",statement,,,
"
will do",statement,,,
"
the 19 pounds is not available at the dates and times specified",statement,,,
"
all the tickets on the 14:19 for advance purchase have now been booked up",statement,,,
"
it would give you the",statement,,,
"
 i think it's the 10th anyway",statement,,,
"
who's the other traveller going to be",question,,,
"
 then you're returning from Euston to Oxenholme on Thursday the 8th",statement,,,
"
this is B  at American Express",statement,,,
"
 you've just got to stipulate the date and time",statement,,,
"
let's assume a departure around 1:30 or 2 o'clock",command,,,
"
i show that schedule for American flight 1 4 4 0 on the 5th of December of 1 9 9 9 operating just San San Jose to San Diego",statement,,,
"
that sounds fine",statement,,,
"
they they do some cheap one as well",statement,,,
"
you'll be able to get the train from Liverpool Lime Street at 11:35",statement,,,
"
they have one flight",statement,,,
"
let me check on that flight",command,,,
"
i know where 's at",statement,,,
"
there used to be a 7:25",statement,,,
just check that,command,,,
"
i think you get that same fare",statement,,,
"
i think it's 1 9 0 8",statement,,,
"
i i'm i do want to book",statement,,,
"
you could",statement,,,
"
all of these are going to be connecting flights",statement,,,
"
so these are open on both going and coming",statement,,,
"
i want to go from Chicago to Southbend on i believe it's United Express 2 6 8 6",statement,,,
"
you'd need to travel out an hour later on Saturday and come back on the 19:59 train in the evening on Monday",statement,,,
"
book that for  me",command,,,
"
it leaves 4:50 p m and arrives San Francisco at 7:08 p m",statement,,,
"
if it if it if it comes",statement,,,
"
i need to uh",statement,,,
"
there's two of us at least now",statement,,,
"
the first one is Air Canada flight 7 5 0 8",statement,,,
"
and the 17:30 from St Pancreas to Derby",statement,,,
"
so the 4 of yous are all sitting together",statement,,,
"
what what signal do i have to give the Holiday Inn people to what proof that i'm you know that i'm with WWW and i'm i'm a gov government on this government thing",question,,,
"
so i need to get the information on that",statement,,,
"
everything's set",statement,,,
"
and what time would you like to depart from Euston",question,,,
see,command,,,
"
 do you hold a current debit or credit card",question,,,
"
they were run on the 31st",statement,,,
"
but i have to book you on the one going  out",statement,,,
"
you don't get responses at all on them for  days",statement,,,
"
who's the traveller then",question,,,
"
 you arrive in Edinburgh at 13:30",statement,,,
"
it's subject to whatever the new fares are at that time",statement,,,
"
you can get the next available  one",statement,,,
"
and the non-refundable is uh 14 days prior to departure and provided that the flights are available",statement,,,
"
but that's too l...",statement,,,
"
or we could look at er er portions of your trip going to change",statement,,,
"
 but you can come back at any time that suits yourself",statement,,,
"
since i'm leaving on Sunday",statement,,,
"
and the dates times and seat numbers will be printed on the tickets for you",statement,,,
"
is that",question,,,
"
the trains run on the hour from Euston to Macclesfield",statement,,,
"
it looks like it's airport check in  on the flight",statement,,,
"
i've got that for him",statement,,,
"
this is B C calling from WWW",statement,,,
"
or it's the 9:35",statement,,,
"
i'm just going to check to see what's the cheapest fare available with the first class ticket",statement,,,
"
who's calling please",question,,,
"
and what day from um",statement,,,
"
it's not something  that i could",statement,,,
"
that's available as well",statement,,,
"
it still shows available if you want to book it",statement,,,
"
it looks like it would be slightly cheaper out of Oakland",statement,,,
"
this is um May 12th",statement,,,
"
you're travelling from Birmingham New Street at 7:33",statement,,,
"
i'm afraid i can't take the booking until you find the appropriate address",statement,,,
"
i don't know that there is anything available",statement,,,
"
it's 6 0 8 50 that has to be ticketed by the 15th of June",statement,,,
"
i i'd appreciate that",statement,,,
"
does it have an issue number",question,,,
"
where's he at",question,,,
"
and the other one's  is leaving at 10:30 from Wigan",statement,,,
"
and do you have a railcard at all",question,,,
"
it's the same price anyway",statement,,,
"
it's a good thing i checked with him",statement,,,
"
you've got to stick to the dates and times that you've booked",statement,,,
"
so the other two",statement,,,
"
this particular one connects through Cleveland",statement,,,
"
it's the 2nd 98",statement,,,
"
it's a change of planes in Charlotte North Carolina",statement,,,
"
but you're defeating the whole purpose",statement,,,
 see,command,,,
"
and it's the 11 o'clock train from Birmingham",statement,,,
"
 you arrive at 16:28 depart at 16:56",statement,,,
"
this is A  speaking",statement,,,
"
we're going to have to void that",statement,,,
"
he'll take that one",statement,,,
"
and if that doesn't work out",statement,,,
"
do you hold a railcard",question,,,
"
and that's 4 0 2 each direction",statement,,,
"
that'd be US Air 2 5 1 4 on the on the 10th",statement,,,
"
i know they have them 10 minutes to the hour",statement,,,
"
the total cost is 30 pounds Return",statement,,,
"
i i mean by Monday",statement,,,
"
i believe there's one at 5:16",statement,,,
"
i'll give you the company name shall i",statement,,,
"
that's the total round trip price",statement,,,
"
and you just collect your tickets half an hour before departure time tomorrow",statement,,,
"
let me get the schedules for Thursday",command,,,
"
i have to be there for the July 4th weekend",statement,,,
"
i've got 12 1 70  Avenue",statement,,,
"
the only thing i have leaving at noon would be a connection on Delta through Atlanta",statement,,,
"
so they're either 8 minutes to 9 or 8 minutes to 10",statement,,,
"
 and that's not available",statement,,,
"
do you want that now",question,,,
"
i  don't think    i'd be interested in the business class",statement,,,
"
that's actually operated by American Eagle",statement,,,
"
that's",statement,,,
"
what i'm going to do just now is fill out a booking form",statement,,,
"
i don't think there's anything after that",statement,,,
"
the 9:19 for Wolverhampton arrives in Euston 11:20",statement,,,
"
let me um let me take a look at the rules",command,,,
"
but i mean that's no big deal",statement,,,
"
one's at 9:50",statement,,,
"
un... unless you can find a three point by going to Moscow",statement,,,
"
he needs to figure that out",statement,,,
"
i've booked that for you",statement,,,
"
it would show it to me",statement,,,
"
i'll go for a smoking then",statement,,,
"
the only way we'll start a permanent profile",statement,,,
"
that's out of Toronto at 10:30 p m",statement,,,
"
let me get the uh schedule",command,,,
"
it's the 7:45 in the morning",statement,,,
"
the lowest airfare being declined is 59 each way on Pan Am",statement,,,
"
and did you want to go on the same same flight into Raleigh at 7:50 in the morning  nonstop",question,,,
"
i wanna buy em a ticket for Edinburgh",statement,,,
"
but you're still getting  in at two in the mo... or two in the afternoon on Monday",statement,,,
"
there's a 6:11 train in the morning arriving 10:31",statement,,,
"
it's just that",statement,,,
"
he needs the cheapest rate possible on this one",statement,,,
"
and it arrives Ottawa",statement,,,
"
the 1 1 1 7 i'm showing sold out",statement,,,
"
it's the 14:19 from Preston",statement,,,
"
i've got a couple of queries first",statement,,,
"
the 25 percent penalty fare",statement,,,
"
and um their last names are EE",statement,,,
"
you're coming back y... come back at any time",statement,,,
"
that would get you there at 4 o'clock",statement,,,
